,State,percenatge,Statebirth,percentage
0,1,,59644.0,1.6057562122632887
1,2,,12528.0,0.33728311024133995
2,3,,59340.0,1.597571820060753
3,4,,34484.0,0.9283900681323728
4,5,,470824.0,12.675685113048264
5,6,,53802.0,1.4484758857921913
6,7,,43988.0,1.1842600138326997
7,8,,9618.0,0.25893909277627775
8,9,,0.0,0.0
9,10,,163448.0,4.400403081315975
10,11,,93905.0,2.5281425979576175
11,12,,18307.0,0.49286732911783293
12,13,,16792.0,0.4520799798190119
13,14,,179848.0,4.841929502768559
14,15,,80685.0,2.1722292265184002
15,16,,40160.0,1.0812012857034015
16,17,,36570.0,0.9845500751537198
17,18,,51278.0,1.3805238926369277
18,19,,81399.0,2.19145177925725
19,20,,16903.0,0.45506835986664823
20,21,,68015.0,1.831123143603507
21,22,,81734.0,2.2004707640857024
22,23,,137480.0,3.7012836842256878
23,24,,66569.0,1.7921934359559195
24,25,,43172.0,1.1622913821311565
25,26,,75022.0,2.019767999403401
26,27,,12069.0,0.3249257549092219
27,28,,23089.0,0.6216099722511412
28,29,,14991.0,0.40359284048754207
29,30,,15453.0,0.41603096284797464
30,31,,105566.0,2.8420840370160674
31,32,,27352.0,0.7363799194860416
32,33,,259414.0,6.984032627725652
33,34,,88852.0,2.3921039999332327
34,35,,9939.0,0.267581164805929
35,36,,160449.0,4.319662975344249
36,37,,52066.0,1.4017386987408689
37,38,,39204.0,1.0554635260138483
38,39,,160359.0,4.3172399644948145
39,40,,13033.0,0.35087889334094696
40,41,,51852.0,1.395977317387768
41,42,,9890.0,0.26626197001012547
42,43,,65748.0,1.7700901925405188
43,44,,304357.0,8.194003478905133
44,45,,37010.0,0.9963959059731794
45,46,,7931.0,0.21352110052075887
46,47,,84310.0,2.269822719065084
47,48,,69929.0,1.8826525076681564
48,49,,23562.0,0.6343442403820603
49,50,,73474.0,1.9780922127931204
50,51,,8973.0,0.24157418168866085
